consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria
202.54,False,2,Departamento,12,Ineficiente
225.13,True,6,Casa,7,Eficiente
920.43,True,13,Local,10,Ineficiente
218.95,False,5,Departamento,7,Moderado
170.4,False,8,Casa,6,Eficiente
918.97,True,12,Local,12,Ineficiente
133.46,True,3,Departamento,7,Eficiente
162.05,False,8,Departamento,9,Eficiente
512.31,False,9,Casa,3,Moderado
784.36,False,8,Departamento,4,Ineficiente
640.69,True,7,Casa,8,Ineficiente
647.24,True,10,Local,7,Moderado
137.67,True,8,Departamento,5,Eficiente
145.3,True,5,Departamento,11,Eficiente
292.91,False,10,Casa,5,Eficiente
191.55,False,10,Casa,6,Eficiente
234.85,False,9,Departamento,4,Eficiente
81.57,False,10,Casa,7,Eficiente
289.79,False,9,Departamento,7,Moderado
508.45,False,5,Departamento,4,Ineficiente
337.38,True,5,Departamento,10,Ineficiente
320.71,True,10,Casa,2,Eficiente
531.07,False,8,Local,10,Moderado
493.34,False,14,Local,1,Eficiente
117.71,False,9,Departamento,4,Eficiente
312.04,True,5,Casa,11,Moderado
103.68,False,6,Departamento,6,Eficiente
271.84,False,8,Casa,8,Eficiente
376.57,False,6,Casa,12,Moderado
96.86,False,6,Departamento,10,Eficiente
87.83,False,7,Departamento,7,Eficiente
663.35,True,18,Local,2,Moderado
397.42,False,10,Casa,12,Moderado
388.77,True,8,Casa,5,Moderado
246.92,False,7,Departamento,8,Moderado
1046.76,False,9,Casa,10,Ineficiente
217.81,False,14,Casa,9,Eficiente
141.78,False,4,Departamento,2,Eficiente
429.9,True,11,Casa,11,Moderado
107.18,False,6,Departamento,12,Eficiente
351.5,True,10,Casa,10,Moderado
250.38,False,4,Departamento,8,Moderado
285.92,False,4,Departamento,6,Ineficiente
456.6,True,9,Casa,12,Ineficiente
304.07,True,6,Departamento,9,Ineficiente
290.02,False,1,Departamento,9,Ineficiente
444.81,True,7,Casa,11,Ineficiente
179.39,True,7,Casa,12,Eficiente
146.55,False,6,Departamento,11,Eficiente
177.89,False,8,Casa,8,Eficiente
259.34,False,3,Casa,3,Moderado
223.25,False,11,Casa,4,Eficiente
242.09,False,9,Departamento,2,Eficiente
259.75,False,6,Departamento,10,Moderado
182.01,True,9,Departamento,5,Eficiente
233.18,True,8,Departamento,3,Eficiente
119.87,True,4,Departamento,9,Eficiente
169.79,False,3,Departamento,7,Eficiente
440.63,True,5,Casa,8,Ineficiente
392.16,True,8,Casa,10,Moderado
249.74,True,3,Departamento,7,Ineficiente
340.6,False,5,Departamento,10,Ineficiente
312.12,True,6,Departamento,4,Ineficiente
272.87,False,4,Departamento,10,Ineficiente
226.38,False,5,Departamento,1,Eficiente
213.98,False,10,Departamento,11,Eficiente
104.19,False,5,Departamento,2,Eficiente
1906.43,True,4,Casa,3,Ineficiente
397.58,True,7,Casa,12,Ineficiente
375.04,False,9,Casa,12,Moderado
493.97,True,10,Casa,5,Ineficiente
406.37,True,9,Casa,10,Moderado
698.34,True,17,Local,9,Moderado
358.17,False,5,Casa,5,Moderado
527.65,True,4,Casa,7,Ineficiente
363.82,False,7,Casa,2,Moderado
313.48,True,7,Casa,11,Moderado
153.16,True,6,Departamento,6,Eficiente
155.77,False,5,Departamento,10,Eficiente
265.98,True,6,Departamento,12,Ineficiente
295.6,False,5,Departamento,10,Ineficiente
249.46,True,13,Casa,8,Eficiente
278.93,True,3,Departamento,4,Ineficiente
